penal,x,y,arquero
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_14.png,1.25,0.05,R
penal_serie-rio-de-la-plata_2025_racing-m_colon_01.png,0.22,0.4,L
penal_serie-rio-de-la-plata_2025_racing-m_colon_02.png,-0.1,0,L
penal_serie-rio-de-la-plata_2025_racing-m_colon_03.png,0.77,0.8,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_01.png,0.1,0.1,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_02.png,0.87,0.08,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_03.png,0.9,0,R
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_04.png,0.75,0.3,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_05.png,0.75,0.25,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_06.png,0.45,0.45,CL
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_07.png,0.1,0.15,R
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_08.png,0.8,0.1,R
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_09.png,1.15,1.1,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_10.png,0.2,0,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_11.png,0.05,0.5,L
penal_serie-rio-de-la-plata_2025_def-sporting_instituto_12.png,0.25,0.1,L
penal_supercopa-argentina_2019_central_boca_01.png,0.8,0.4,L
penal_supercopa-argentina_2019_central_boca_02.png,0.8,0.9,R
penal_supercopa-argentina_2019_central_boca_03.png,0.25,0.2,R
penal_supercopa-argentina_2019_central_boca_04.png,0.5,0.7,L
penal_supercopa-argentina_2019_central_boca_05.png,0.4,0.5,CL
penal_supercopa-argentina_2019_central_boca_06.png,0.03,0.45,L
penal_supercopa-argentina_2019_central_boca_07.png,0.15,0.25,R
penal_supercopa-argentina_2019_central_boca_08.png,0.25,0.8,R
penal_supercopa-argentina_2019_central_boca_09.png,0.15,0.8,R
penal_supercopa-argentina_2019_central_boca_10.png,0.25,0.4,L
penal_supercopa-argentina_2019_central_boca_11.png,0.28,0.4,L
penal_supercopa-argentina_2019_central_boca_12.png,0.2,0.2,CL
penal_champions-afc_2025-26_al-hilal_al-sadd_01.png,0,0,R
penal_champions-afc_2025-26_al-hilal_al-sadd_05.png,0.23,0.45,R
penal_champions-afc_2025-26_al-hilal_al-sadd_08.png,0,0.7,L
penal_champions-afc_2025-26_al-hilal_al-sadd_09.png,0.85,0.65,L
penal_europa-league_2021_villarreal_man-utd_02.png,0.2,0.6,L
penal_europa-league_2021_villarreal_man-utd_04.png,0.2,0.45,R
penal_europa-league_2021_villarreal_man-utd_08.png,0.1,0.5,R
penal_europa-league_2021_villarreal_man-utd_09.png,0.5,0.3,R
penal_europa-league_2021_villarreal_man-utd_13.png,0.8,0,L
penal_europa-league_2021_villarreal_man-utd_14.png,0.75,0.5,L
penal_europa-league_2021_villarreal_man-utd_15.png,0.8,0.85,L
penal_europa-league_2021_villarreal_man-utd_16.png,0.8,0,R
penal_europa-league_2021_villarreal_man-utd_17.png,0.4,0.5,L
penal_europa-league_2021_villarreal_man-utd_18.png,0.8,0.8,L
penal_europa-league_2021_villarreal_man-utd_20.png,0.2,0.6,L
penal_europa-league_2021_villarreal_man-utd_21.png,0.8,0.75,L
penal_copa-africa_2025_nigeria_marruecos_01.png,0.75,0.35,L
penal_copa-africa_2025_nigeria_marruecos_02.png,0.25,0,R
penal_copa-africa_2025_nigeria_marruecos_03.png,-0.05,0,L
penal_copa-africa_2025_nigeria_marruecos_04.png,0.2,0,L
penal_copa-africa_2025_nigeria_marruecos_05.png,0.8,0.6,R
penal_copa-africa_2025_nigeria_marruecos_06.png,0.27,0.25,R
penal_copa-africa_2025_nigeria_marruecos_07.png,0.75,0,L
penal_copa-africa_2025_nigeria_marruecos_08.png,0.7,0.4,R
penal_copa-africa_2025_nigeria_marruecos_09.png,0.1,0.4,L
penal_copa-africa_2025_egipto_nigeria_01.png,0.75,0,R
penal_copa-africa_2025_egipto_nigeria_02.png,0.75,0.45,R
penal_copa-africa_2025_egipto_nigeria_03.png,0.85,0.1,L
penal_copa-africa_2025_egipto_nigeria_04.png,0.5,0.1,L
penal_copa-africa_2025_egipto_nigeria_05.png,0.9,0,L
penal_copa-africa_2025_egipto_nigeria_06.png,0.25,0,R
penal_copa-africa_2025_egipto_nigeria_07.png,0.7,0.1,L
penal_copa-africa_2025_egipto_nigeria_08.png,0.2,0.7,L
penal_copa-africa_2025_egipto_nigeria_09.png,0.23,0.7,R
penal_copa-africa_2025_egipto_sudafrica_p01.png,0.5,0.5,R
penal_copa-africa_2025_zimbaue_sudafrica_p01.png,0.2,0,R
penal_copa-africa_2025_uganda_tanzania_p01.png,0.25,0.95,R
penal_copa-africa_2025_nigeria_tunez_p01.png,0.7,0.9,L
penal_copa-africa_2025_tanzania_tunez_p01.png,0.8,0,L
penal_copa-africa_2025_benin_senegal_p01.png,0.6,0.8,L
penal_copa-africa_2025_botsuana_rd-congo_p01.png,0.8,0.7,R
penal_copa-africa_2025_algeria_burkina-faso_p01.png,0.1,0.0,R
penal_copa-africa_2025_gabon_mozambique_p01.png,0.25,0,R
penal_coppa-italia_2025-26_atalanta_lazio_01.png,0.75,0,L
penal_coppa-italia_2025-26_atalanta_lazio_02.png,0.75,0.25,R
penal_coppa-italia_2025-26_atalanta_lazio_03.png,0.15,0.1,L
penal_coppa-italia_2025-26_atalanta_lazio_04.png,1,0.5,R
penal_coppa-italia_2025-26_atalanta_lazio_05.png,0.75,0.25,R
penal_coppa-italia_2025-26_atalanta_lazio_06.png,0.75,0.5,L
penal_coppa-italia_2025-26_atalanta_lazio_07.png,0.23,0.05,L
penal_coppa-italia_2025-26_atalanta_lazio_08.png,0.75,0.15,R
penal_coppa-italia_2025-26_atalanta_lazio_09.png,0.75,0.1,L
penal_champions_2026_psg_arsenal_01.png,0.9,0.9,L
penal_champions_2026_psg_arsenal_02.png,0.8,0,L
penal_champions_2026_psg_arsenal_03.png,0.8,0,L
penal_champions_2026_psg_arsenal_04.png,-0.1,0.2,CR
penal_champions_2026_psg_arsenal_05.png,0.78,0.5,R
penal_champions_2026_psg_arsenal_06.png,0.78,0,CL
penal_champions_2026_psg_arsenal_07.png,0.25,0.3,R
penal_champions_2026_psg_arsenal_08.png,0.2,0.65,R
penal_champions_2026_psg_arsenal_09.png,0.8,0.1,L
penal_champions_2026_psg_arsenal_10.png,0.75,1.2,R
penal_champions_2026_aleti_arsenal_01.png,0.25,0.2,L
penal_champions_2026_psg_bayern_01.png,0.8,0,L
penal_champions_2026_psg_bayern_02.png,0.8,0.1,R
penal_champions_2026_tottenham_aleti_01.png,0.05,0,R
penal_champions_2026_bayern_atalanta_01.png,0.95,0,L
penal_eurocopa_2024_portugal_eslovenia_01.png,0.8,0.2,R
penal_eurocopa_2024_portugal_eslovenia_02.png,0.2,0.1,L
penal_eurocopa_2024_portugal_eslovenia_05.png,0.3,0.4,L
penal_eurocopa_2024_portugal_eslovenia_06.png,0.8,0.3,L
penal_eurocopa_2024_portugal_eslovenia_07.png,0.8,0.25,R
penal_eurocopa_2024_portugal_francia_01.png,0.75,0,L
penal_eurocopa_2024_portugal_francia_02.png,0.2,0.1,L
penal_eurocopa_2024_portugal_francia_03.png,0.45,0,L
penal_eurocopa_2024_portugal_francia_04.png,0.75,0.8,R
penal_eurocopa_2024_portugal_francia_05.png,0.1,0.9,L
penal_eurocopa_2024_portugal_francia_06.png,0,0,L
penal_eurocopa_2024_portugal_francia_07.png,0.3,0.5,R
penal_eurocopa_2024_portugal_francia_08.png,0.75,0.9,L
penal_eurocopa_2024_portugal_francia_09.png,0.1,0.8,R
penal_eurocopa_2024_inglaterra_suiza_01.png,0.2,0.5,R
penal_eurocopa_2024_inglaterra_suiza_02.png,0.7,0,R
penal_eurocopa_2024_inglaterra_suiza_03.png,0.8,0,L
penal_eurocopa_2024_inglaterra_suiza_04.png,0.8,0,L
penal_eurocopa_2024_inglaterra_suiza_05.png,0.9,0,L
penal_eurocopa_2024_inglaterra_suiza_06.png,0.8,0.4,R
penal_eurocopa_2024_inglaterra_suiza_07.png,0.2,0,L
penal_eurocopa_2024_inglaterra_suiza_08.png,0.45,0,R
penal_eurocopa_2024_inglaterra_suiza_09.png,0.3,0.4,R
penal_eurocopa_2024_alemania_escocia_01.png,0.4,0,R
penal_eurocopa_2024_georgia_chequia_01.png,0.8,0.5,L
penal_eurocopa_2024_polonia_austria_01.png,0.75,0,L
penal_eurocopa_2024_croacia_italia_01.png,0.85,0,R
penal_eurocopa_2024_francia_polonia_01.png,0.8,02,L
penal_eurocopa_2024_eslovaquia_rumania_01.png,0.2,0.9,R
penal_eurocopa_2024_alemania_dinamarca_01.png,0.99,0,R
penal_eurocopa_2024_paisesbajos_inglaterra_01.png,0.1,0,L
penal_mundial_2022_japon_croacia_01.png,0.7,0.1,R
penal_mundial_2022_japon_croacia_02.png,0.2,0.45,L
penal_mundial_2022_japon_croacia_03.png,0.1,0,L
penal_mundial_2022_japon_croacia_04.png,0.45,0.5,L
penal_mundial_2022_japon_croacia_05.png,0.75,0.5,L
penal_mundial_2022_japon_croacia_06.png,0,0.3,L
penal_mundial_2022_japon_croacia_07.png,0.1,0,L
penal_mundial_2022_japon_croacia_08.png,0.2,0.1,R
penal_mundial_2022_marruecos_españa_01.png,0.8,0,L
penal_mundial_2022_marruecos_españa_02.png,1,0,R
penal_mundial_2022_marruecos_españa_03.png,0.5,0.5,R
penal_mundial_2022_marruecos_españa_04.png,0.8,0.1,R
penal_mundial_2022_marruecos_españa_05.png,0.3,0,L
penal_mundial_2022_marruecos_españa_06.png,0.25,0.1,L
penal_mundial_2022_marruecos_españa_07.png,0.5,0.1,L
penal_mundial_2022_holanda_argentina_01.png,0.25,0.3,L
penal_mundial_2022_holanda_argentina_02.png,0.35,0,R
penal_mundial_2022_holanda_argentina_03.png,0.75,0.3,R
penal_mundial_2022_holanda_argentina_04.png,0.1,0.5,L
penal_mundial_2022_holanda_argentina_05.png,0.8,0.3,CL
penal_mundial_2022_holanda_argentina_06.png,0.8,0.4,L
penal_mundial_2022_holanda_argentina_07.png,0.2,0,R
penal_mundial_2022_holanda_argentina_08.png,-0.07,0,L
penal_mundial_2022_holanda_argentina_09.png,0.3,0,R
penal_mundial_2022_holanda_argentina_10.png,0.15,0.6,R
penal_mundial_2022_croacia_brasil_01.png,0.5,0.8,L
penal_mundial_2022_croacia_brasil_02.png,0.7,0.25,R
penal_mundial_2022_croacia_brasil_03.png,0.5,0.3,L
penal_mundial_2022_croacia_brasil_04.png,0.2,0.3,L
penal_mundial_2022_croacia_brasil_05.png,0.1,0,R
penal_mundial_2022_croacia_brasil_06.png,0.3,0,R
penal_mundial_2022_croacia_brasil_07.png,0.05,0,L
penal_mundial_2022_croacia_brasil_08.png,0,0,R
penal_mundial_2022_argentina_francia_01.png,0.3,0.4,L
penal_mundial_2022_argentina_francia_02.png,0.25,0,R
penal_mundial_2022_argentina_francia_03.png,0.3,0.1,L
penal_mundial_2022_argentina_francia_04.png,0.5,0,R
penal_mundial_2022_argentina_francia_05.png,-0.05,0,L
penal_mundial_2022_argentina_francia_06.png,0.25,0,L
penal_mundial_2022_argentina_francia_07.png,0.45,0.7,L
penal_mundial_2022_argentina_francia_08.png,0.2,0,R
penal_mundial_2026_alemania_paraguay_01.png,0.7,0.5,R
penal_mundial_2026_alemania_paraguay_02.png,0.9,0.4,R
penal_mundial_2026_alemania_paraguay_03.png,0.1,0,R
penal_mundial_2026_alemania_paraguay_04.png,0.8,0,L
penal_mundial_2026_alemania_paraguay_05.png,0.2,0,L
penal_mundial_2026_alemania_paraguay_06.png,0.2,0,R
penal_mundial_2026_alemania_paraguay_07.png,0.85,0,R
penal_mundial_2026_alemania_paraguay_08.png,-0.05,0.1,L
penal_mundial_2026_alemania_paraguay_09.png,0.8,0.1,L
penal_mundial_2026_alemania_paraguay_10.png,0.8,0.1,R
penal_mundial_2026_alemania_paraguay_11.png,0.3,1.4,R
penal_mundial_2026_alemania_paraguay_12.png,0.75,0.7,L
penal_mundial_2026_marruecos_holanda_01.png,0.95,0,R
penal_mundial_2026_marruecos_holanda_02.png,0.25,1,R
penal_mundial_2026_marruecos_holanda_03.png,0,0,CL
penal_mundial_2026_marruecos_holanda_04.png,0.3,0.1,L
penal_mundial_2026_marruecos_holanda_05.png,0.25,0.9,L
penal_mundial_2026_marruecos_holanda_06.png,0.9,0.8,R
penal_mundial_2026_marruecos_holanda_07.png,-0.2,0,R
penal_mundial_2026_marruecos_holanda_08.png,0,0,R
penal_mundial_2026_marruecos_holanda_09.png,0.35,0.7,L
penal_mundial_2026_marruecos_holanda_10.png,0.15,0,R
penal_mundial_2026_australia_egipto_01.png,0.8,1.3,L
penal_mundial_2026_australia_egipto_02.png,0.25,0.5,L
penal_mundial_2026_australia_egipto_03.png,0.9,0.8,L
penal_mundial_2026_australia_egipto_04.png,0.3,0,R
penal_mundial_2026_australia_egipto_05.png,0.7,0,L
penal_mundial_2026_australia_egipto_06.png,0.5,0.4,R
penal_mundial_2026_australia_egipto_07.png,0.8,1,R
penal_mundial_2026_australia_egipto_08.png,0.2,0.2,R
penal_mundial_2026_colombia_suiza_01.png,0.4,0.6,R
penal_mundial_2026_colombia_suiza_02.png,0.3,0.5,L
penal_mundial_2026_colombia_suiza_03.png,0.5,1,L
penal_mundial_2026_colombia_suiza_04.png,0.85,0.1,L
penal_mundial_2026_colombia_suiza_05.png,0.7,0,R
penal_mundial_2026_colombia_suiza_06.png,0.5,1.3,L
penal_mundial_2026_colombia_suiza_07.png,0.2,0.4,L
penal_mundial_2026_colombia_suiza_08.png,0.5,0.5,L
penal_mundial_2026_colombia_suiza_09.png,0.1,0,R
penal_mundial_2026_colombia_suiza_10.png,0.3,0,R
penal_mundial_2018_colombia_inglaterra_01.png,0.5,0.8,L
penal_mundial_2018_colombia_inglaterra_02.png,0.25,0.7,L
penal_mundial_2018_colombia_inglaterra_03.png,0.7,0,L
penal_mundial_2018_colombia_inglaterra_04.png,0.15,0.8,L
penal_mundial_2018_croacia_dinamarca_01.png,0.1,0.2,L
penal_mundial_2018_croacia_dinamarca_02.png,0.75,0.9,CR
penal_mundial_2018_croacia_dinamarca_03.png,0.5,0,R
penal_mundial_2018_croacia_dinamarca_04.png,0.25,0.4,L
penal_mundial_2018_croacia_dinamarca_05.png,0.55,0,R
penal_mundial_2006_inglaterra_portugal_01.png,0.1,0.1,L
penal_mundial_2006_inglaterra_portugal_02.png,0,0.1,R
penal_mundial_2006_inglaterra_portugal_03.png,-0.1,0,L
penal_mundial_2006_inglaterra_portugal_04.png,0.25,0.5,CR
penal_riodelaplata_2026_olimpia_colocolo_01.png,0.55,0.2,L
penal_riodelaplata_2026_olimpia_colocolo_02.png,0.2,0.2,L
penal_riodelaplata_2026_olimpia_colocolo_03.png,0.75,0.7,R
penal_riodelaplata_2026_olimpia_colocolo_04.png,0.4,0.6,R
penal_riodelaplata_2026_olimpia_colocolo_05.png,0.8,0.8,L
penal_riodelaplata_2026_olimpia_colocolo_06.png,0.2,0,L
penal_riodelaplata_2026_olimpia_colocolo_07.png,0.85,0,L
penal_riodelaplata_2026_olimpia_colocolo_08.png,0.55,0,L
penal_riodelaplata_2026_olimpia_colocolo_09.png,0.85,0,L
penal_riodelaplata_2026_olimpia_colocolo_10.png,0.3,0.1,L
penal_riodelaplata_2026_peñarol_river_01.png,0.8,0.4,L
penal_riodelaplata_2026_peñarol_river_02.png,0.2,0.4,R
penal_riodelaplata_2026_peñarol_river_03.png,0.75,0.5,L
penal_riodelaplata_2026_peñarol_river_04.png,0.9,0,CL
penal_riodelaplata_2026_peñarol_river_05.png,1,1.4,CR
penal_riodelaplata_2026_peñarol_river_06.png,0.2,0.6,L
penal_riodelaplata_2026_peñarol_river_07.png,0.3,0.1,L
penal_riodelaplata_2026_peñarol_river_08.png,0.2,0.2,R
penal_riodelaplata_2026_peñarol_colocolo_01.png,0.2,0.1,R
penal_riodelaplata_2026_peñarol_colocolo_02.png,0,0.8,L
penal_riodelaplata_2026_peñarol_colocolo_03.png,0.25,0.5,L
penal_riodelaplata_2026_peñarol_colocolo_04.png,0.3,1.1,R
penal_riodelaplata_2026_peñarol_colocolo_05.png,0.3,0.5,L
penal_riodelaplata_2026_peñarol_colocolo_06.png,0.35,0.2,L
penal_riodelaplata_2026_peñarol_colocolo_07.png,0.75,0.4,R
penal_riodelaplata_2026_peñarol_colocolo_08.png,0.3,0.8,R
penal_riodelaplata_2026_peñarol_colocolo_09.png,0.75,0,CL
penal_riodelaplata_2026_peñarol_colocolo_10.png,0.3,0.5,CL
